"時点","地域コード","地域","総人口（総数）【人】","注記","出生率（人口千対）","注記"
"1989年","13000","東京都","11863000","","",""
"1989年","14000","神奈川県","7891000","","",""
"1989年","15000","新潟県","2476000","","",""
"1989年","16000","富山県","1121000","","",""
"1989年","17000","石川県","1163000","","",""
"1989年","18000","福井県","823000","","",""
"1989年","19000","山梨県","849000","","",""
"1989年","20000","長野県","2153000","","",""
"1989年","21000","岐阜県","2058000","","",""
"1989年","22000","静岡県","3657000","","",""
"1989年","23000","愛知県","6649000","","",""
"1989年","24000","三重県","1782000","","",""
"1989年","25000","滋賀県","1206000","","",""
"1989年","26000","京都府","2604000","","",""
"1989年","27000","大阪府","8744000","","",""
"1989年","28000","兵庫県","5372000","","",""
"1989年","29000","奈良県","1363000","","",""
"1989年","30000","和歌山県","1074000","","",""
"1989年","31000","鳥取県","616000","","",""
"1989年","32000","島根県","785000","","",""
"1989年","33000","岡山県","1925000","","",""
"1989年","34000","広島県","2843000","","",""
"1989年","35000","山口県","1581000","","",""
"1989年","36000","徳島県","833000","","",""
"1989年","37000","香川県","1023000","","",""
"1989年","38000","愛媛県","1519000","","",""
"1989年","39000","高知県","830000","","",""
"1989年","40000","福岡県","4793000","","",""
"1989年","41000","佐賀県","879000","","",""
"1989年","42000","長崎県","1570000","","",""
"1989年","43000","熊本県","1841000","","",""
"1989年","44000","大分県","1240000","","",""
"1989年","45000","宮崎県","1172000","","",""
"1989年","46000","鹿児島県","1805000","","",""
"1989年","47000","沖縄県","1215000","","",""
"1990年","01000","北海道","5643647","","",""
"1990年","02000","青森県","1482873","","",""
"1990年","03000","岩手県","1416928","","",""
"1990年","04000","宮城県","2248558","","",""
"1990年","05000","秋田県","1227478","","",""
"1990年","06000","山形県","1258390","","",""
"1990年","07000","福島県","2104058","","",""
"1990年","08000","茨城県","2845382","","",""
"1990年","09000","栃木県","1935168","","",""
"1990年","10000","群馬県","1966265","","",""
"1990年","11000","埼玉県","6405319","","",""
"1990年","12000","千葉県","5555429","","",""
"1990年","13000","東京都","11855563","","",""
"1990年","14000","神奈川県","7980391","","",""
"1990年","15000","新潟県","2474583","","",""
"1990年","16000","富山県","1120161","","",""
"1990年","17000","石川県","1164628","","",""
"1990年","18000","福井県","823585","","",""
"1990年","19000","山梨県","852966","","",""
"1990年","20000","長野県","2156627","","",""
"1990年","21000","岐阜県","2066569","","",""
"1990年","22000","静岡県","3670840","","",""
"1990年","23000","愛知県","6690603","","",""
"1990年","24000","三重県","1792514","","",""
"1990年","25000","滋賀県","1222411","","",""
"1990年","26000","京都府","2602460","","",""
"1990年","27000","大阪府","8734516","","",""
"1990年","28000","兵庫県","5405040","","",""
"1990年","29000","奈良県","1375481","","",""
"1990年","30000","和歌山県","1074325","","",""
"1990年","31000","鳥取県","615722","","",""
"1990年","32000","島根県","781021","","",""
"1990年","33000","岡山県","1925877","","",""
"1990年","34000","広島県","2849847","","",""
"1990年","35000","山口県","1572616","","",""
"1990年","36000","徳島県","831598","","",""
"1990年","37000","香川県","1023412","","",""
"1990年","38000","愛媛県","1515025","","",""
"1990年","39000","高知県","825034","","",""
"1990年","40000","福岡県","4811050","","",""
"1990年","41000","佐賀県","877851","","",""
"1990年","42000","長崎県","1562959","","",""
"1990年","43000","熊本県","1840326","","",""
"1990年","44000","大分県","1236942","","",""
"1990年","45000","宮崎県","1168907","","",""
"1990年","46000","鹿児島県","1797824","","",""
"1990年","47000","沖縄県","1222398","","",""
"1991年","01000","北海道","5650000","","",""
"1991年","02000","青森県","1479000","","",""
"1991年","03000","岩手県","1416000","","",""
"1991年","04000","宮城県","2267000","","",""
"1991年","05000","秋田県","1223000","","",""
"1991年","06000","山形県","1257000","","",""
"1991年","07000","福島県","2109000","","",""
"1991年","08000","茨城県","2871000","","",""
"1991年","09000","栃木県","1948000","","",""
"1991年","10000","群馬県","1974000","","",""
"1991年","11000","埼玉県","6486000","","",""
"1991年","12000","千葉県","5617000","","",""
"1991年","13000","東京都","11894000","","",""
"1991年","14000","神奈川県","8050000","","",""
"1991年","15000","新潟県","2475000","","",""
"1991年","16000","富山県","1121000","","",""
"1991年","17000","石川県","1167000","","",""
"1991年","18000","福井県","823000","","",""
"1991年","19000","山梨県","860000","","",""
"1991年","20000","長野県","2162000","","",""
"1991年","21000","岐阜県","2073000","","",""
"1991年","22000","静岡県","3687000","","",""
"1991年","23000","愛知県","6729000","","",""
"1991年","24000","三重県","1803000","","",""
"1991年","25000","滋賀県","1235000","","",""
"1991年","26000","京都府","2608000","","",""
"1991年","27000","大阪府","8750000","","",""
"1991年","28000","兵庫県","5426000","","",""
"1991年","29000","奈良県","1388000","","",""
"1991年","30000","和歌山県","1076000","","",""
"1991年","31000","鳥取県","615000","","",""
"1991年","32000","島根県","778000","","",""
"1991年","33000","岡山県","1930000","","",""
"1991年","34000","広島県","2859000","","",""
"1991年","35000","山口県","1569000","","",""
"1991年","36000","徳島県","831000","","",""
"1991年","37000","香川県","1023000","","",""
"1991年","38000","愛媛県","1513000","","",""
"1991年","39000","高知県","822000","","",""
"1991年","40000","福岡県","4834000","","",""
"1991年","41000","佐賀県","878000","","",""
"1991年","42000","長崎県","1557000","","",""
"1991年","43000","熊本県","1844000","","",""
"1991年","44000","大分県","1235000","","",""
"1991年","45000","宮崎県","1167000","","",""
"1991年","46000","鹿児島県","1793000","","",""
"1991年","47000","沖縄県","1230000","","",""
"1992年","01000","北海道","5661000","","",""
"1992年","02000","青森県","1476000","","",""
"1992年","03000","岩手県","1416000","","",""
"1992年","04000","宮城県","2283000","","",""
"1992年","05000","秋田県","1220000","","",""
"1992年","06000","山形県","1257000","","",""
"1992年","07000","福島県","2116000","","",""
"1992年","08000","茨城県","2898000","","",""
"1992年","09000","栃木県","1959000","","",""
"1992年","10000","群馬県","1984000","","",""
"1992年","11000","埼玉県","6567000","","",""
"1992年","12000","千葉県","5679000","","",""
"1992年","13000","東京都","11887000","","",""
"1992年","14000","神奈川県","8116000","","",""
"1992年","15000","新潟県","2476000","","",""
"1992年","16000","富山県","1120000","","",""
"1992年","17000","石川県","1171000","","",""
"1992年","18000","福井県","823000","","",""
"1992年","19000","山梨県","865000","","",""
"1992年","20000","長野県","2169000","","",""
"1992年","21000","岐阜県","2082000","","",""
"1992年","22000","静岡県","3704000","","",""
"1992年","23000","愛知県","6776000","","",""
"1992年","24000","三重県","1814000","","",""
"1992年","25000","滋賀県","1248000","","",""
"1992年","26000","京都府","2615000","","",""
"1992年","27000","大阪府","8761000","","",""
"1992年","28000","兵庫県","5443000","","",""
"1992年","29000","奈良県","1400000","","",""
"1992年","30000","和歌山県","1076000","","",""
"1992年","31000","鳥取県","615000","","",""
"1992年","32000","島根県","775000","","",""
"1992年","33000","岡山県","1935000","","",""
"1992年","34000","広島県","2867000","","",""
"1992年","35000","山口県","1565000","","",""
"1992年","36000","徳島県","830000","","",""
"1992年","37000","香川県","1024000","","",""
"1992年","38000","愛媛県","1511000","","",""
"1992年","39000","高知県","819000","","",""
"1992年","40000","福岡県","4859000","","",""
"1992年","41000","佐賀県","879000","","",""
"1992年","42000","長崎県","1552000","","",""
"1992年","43000","熊本県","1846000","","",""
"1992年","44000","大分県","1233000","","",""
"1992年","45000","宮崎県","1167000","","",""
"1992年","46000","鹿児島県","1789000","","",""
"1992年","47000","沖縄県","1239000","","",""
"1993年","01000","北海道","5669000","","",""
"1993年","02000","青森県","1476000","","",""
"1993年","03000","岩手県","1417000","","",""
"1993年","04000","宮城県","2299000","","",""
"1993年","05000","秋田県","1217000","","",""
"1993年","06000","山形県","1256000","","",""
"1993年","07000","福島県","2123000","","",""
"1993年","08000","茨城県","2920000","","",""
"1993年","09000","栃木県","1969000","","",""
"1993年","10000","群馬県","1990000","","",""
"1993年","11000","埼玉県","6640000","","",""
"1993年","12000","千葉県","5731000","","",""
"1993年","13000","東京都","11849000","","",""
"1993年","14000","神奈川県","8166000","","",""
"1993年","15000","新潟県","2479000","","",""
"1993年","16000","富山県","1121000","","",""
"1993年","17000","石川県","1173000","","",""
"1993年","18000","福井県","824000","","",""
"1993年","19000","山梨県","871000","","",""
"1993年","20000","長野県","2175000","","",""
"1993年","21000","岐阜県","2089000","","",""
"1993年","22000","静岡県","3716000","","",""
"1993年","23000","愛知県","6810000","","",""
"1993年","24000","三重県","1823000","","",""
"1993年","25000","滋賀県","1261000","","",""
"1993年","26000","京都府","2618000","","",""
"1993年","27000","大阪府","8762000","","",""
"1993年","28000","兵庫県","5457000","","",""
"1993年","29000","奈良県","1412000","","",""
"1993年","30000","和歌山県","1077000","","",""
"1993年","31000","鳥取県","614000","","",""
"1993年","32000","島根県","773000","","",""
"1993年","33000","岡山県","1940000","","",""
"1993年","34000","広島県","2873000","","",""
"1993年","35000","山口県","1561000","","",""
"1993年","36000","徳島県","831000","","",""
"1993年","37000","香川県","1025000","","",""
"1993年","38000","愛媛県","1508000","","",""
"1993年","39000","高知県","817000","","",""
"1993年","40000","福岡県","4885000","","",""
"1993年","41000","佐賀県","880000","","",""
"1993年","42000","長崎県","1550000","","",""
"1993年","43000","熊本県","1850000","","",""
"1993年","44000","大分県","1231000","","",""
"1993年","45000","宮崎県","1171000","","",""
"1993年","46000","鹿児島県","1788000","","",""
"1993年","47000","沖縄県","1250000","","",""
"1994年","01000","北海道","5681000","","",""
"1994年","02000","青森県","1480000","","",""
"1994年","03000","岩手県","1418000","","",""
"1994年","04000","宮城県","2313000","","",""
"1994年","05000","秋田県","1216000","","",""
"1994年","06000","山形県","1256000","","",""
"1994年","07000","福島県","2129000","","",""
"1994年","08000","茨城県","2940000","","",""
"1994年","09000","栃木県","1977000","","",""
"1994年","10000","群馬県","1996000","","",""
"1994年","11000","埼玉県","6703000","","",""
"1994年","12000","千葉県","5767000","","",""
"1994年","13000","東京都","11796000","","",""
"1994年","14000","神奈川県","8207000","","",""
"1994年","15000","新潟県","2484000","","",""
"1994年","16000","富山県","1121000","","",""
"1994年","17000","石川県","1176000","","",""
"1994年","18000","福井県","825000","","",""
"1994年","19000","山梨県","877000","","",""
"1994年","20000","長野県","2184000","","",""
"1994年","21000","岐阜県","2095000","","",""
"1994年","22000","静岡県","3729000","","",""
"1994年","23000","愛知県","6839000","","",""
"1994年","24000","三重県","1833000","","",""
"1994年","25000","滋賀県","1273000","","",""
"1994年","26000","京都府","2622000","","",""
"1994年","27000","大阪府","8759000","","",""
"1994年","28000","兵庫県","5469000","","",""
"1994年","29000","奈良県","1420000","","",""
"1994年","30000","和歌山県","1080000","","",""
"1994年","31000","鳥取県","614000","","",""
"1994年","32000","島根県","772000","","",""
"1994年","33000","岡山県","1945000","","",""
"1994年","34000","広島県","2877000","","",""
"1994年","35000","山口県","1559000","","",""
"1994年","36000","徳島県","830000","","",""
"1994年","37000","香川県","1026000","","",""
"1994年","38000","愛媛県","1508000","","",""
"1994年","39000","高知県","817000","","",""
"1994年","40000","福岡県","4909000","","",""
"1994年","41000","佐賀県","883000","","",""
"1994年","42000","長崎県","1549000","","",""
"1994年","43000","熊本県","1855000","","",""
"1994年","44000","大分県","1232000","","",""
"1994年","45000","宮崎県","1174000","","",""
"1994年","46000","鹿児島県","1791000","","",""
"1994年","47000","沖縄県","1262000","","",""
"1995年","01000","北海道","5692321","","8.8",""
"1995年","02000","青森県","1481663","","9.5",""
"1995年","03000","岩手県","1419505","","9.2",""
"1995年","04000","宮城県","2328739","","9.6",""
"1995年","05000","秋田県","1213667","","8.2",""
"1995年","06000","山形県","1256958","","9.2",""
"1995年","07000","福島県","2133592","","10.0",""
"1995年","08000","茨城県","2955530","","9.6",""
"1995年","09000","栃木県","1984390","","9.5",""
"1995年","10000","群馬県","2003540","","9.8",""
"1995年","11000","埼玉県","6759311","","10.1",""
"1995年","12000","千葉県","5797782","","9.5",""
"1995年","13000","東京都","11773605","","8.4",""
"1995年","14000","神奈川県","8245900","","9.9",""
"1995年","15000","新潟県","2488364","","9.1",""
"1995年","16000","富山県","1123125","","9.0",""
"1995年","17000","石川県","1180068","","9.4",""
"1995年","18000","福井県","826996","","10.1",""
"1995年","19000","山梨県","881996","","10.1",""
"1995年","20000","長野県","2193984","","9.7",""
"1995年","21000","岐阜県","2100315","","9.7",""
"1995年","22000","静岡県","3737689","","9.6",""
"1995年","23000","愛知県","6868336","","10.6",""
"1995年","24000","三重県","1841358","","9.6",""
"1995年","25000","滋賀県","1287005","","10.5",""
"1995年","26000","京都府","2629592","","9.0",""
"1995年","27000","大阪府","8797268","","10.0",""
"1995年","28000","兵庫県","5401877","","9.8",""
"1995年","29000","奈良県","1430862","","9.4",""
"1995年","30000","和歌山県","1080435","","9.2",""
"1995年","31000","鳥取県","614929","","9.3",""
"1995年","32000","島根県","771441","","8.8",""
"1995年","33000","岡山県","1950750","","9.6",""
"1995年","34000","広島県","2881748","","9.7",""
"1995年","35000","山口県","1555543","","8.6",""
"1995年","36000","徳島県","832427","","9.0",""
"1995年","37000","香川県","1027006","","9.1",""
"1995年","38000","愛媛県","1506700","","9.2",""
"1995年","39000","高知県","816704","","8.5",""
"1995年","40000","福岡県","4933393","","9.6",""
"1995年","41000","佐賀県","884316","","9.9",""
"1995年","42000","長崎県","1544934","","9.6",""
"1995年","43000","熊本県","1859793","","9.6",""
"1995年","44000","大分県","1231306","","9.1",""
"1995年","45000","宮崎県","1175819","","10.0",""
"1995年","46000","鹿児島県","1794224","","9.3",""
"1995年","47000","沖縄県","1273440","","13.2",""
"1996年","01000","北海道","5697000","","8.8",""
"1996年","02000","青森県","1483000","","9.4",""
"1996年","03000","岩手県","1420000","","9.1",""
"1996年","04000","宮城県","2338000","","9.5",""
"1996年","05000","秋田県","1210000","","8.1",""
"1996年","06000","山形県","1255000","","9.3",""
"1996年","07000","福島県","2134000","","10.1",""
"1996年","08000","茨城県","2966000","","9.8",""
"1996年","09000","栃木県","1991000","","9.7",""
"1996年","10000","群馬県","2009000","","10.0",""
"1996年","11000","埼玉県","6804000","","10.2",""
"1996年","12000","千葉県","5817000","","9.6",""
"1996年","13000","東京都","11808000","","8.5",""
"1996年","14000","神奈川県","8279000","","10.0",""
"1996年","15000","新潟県","2490000","","9.2",""
"1996年","16000","富山県","1125000","","9.2",""
"1996年","17000","石川県","1181000","","9.8",""
"1996年","18000","福井県","828000","","10.2",""
"1996年","19000","山梨県","885000","","10.2",""
"1996年","20000","長野県","2203000","","9.8",""
"1996年","21000","岐阜県","2104000","","9.9",""
"1996年","22000","静岡県","3745000","","9.7",""
"1996年","23000","愛知県","6897000","","10.8",""
"1996年","24000","三重県","1846000","","9.7",""
"1996年","25000","滋賀県","1298000","","10.8",""
"1996年","26000","京都府","2634000","","9.3",""
"1996年","27000","大阪府","8807000","","10.3",""
"1996年","28000","兵庫県","5421000","","10.0",""
"1996年","29000","奈良県","1437000","","9.5",""
"1996年","30000","和歌山県","1079000","","9.4",""
"1996年","31000","鳥取県","615000","","9.1",""
"1996年","32000","島根県","770000","","8.9",""
"1996年","33000","岡山県","1951000","","9.9",""
"1996年","34000","広島県","2881000","","9.8",""
"1996年","35000","山口県","1550000","","8.7",""
"1996年","36000","徳島県","831000","","8.9",""
"1996年","37000","香川県","1027000","","9.1",""
"1996年","38000","愛媛県","1505000","","9.1",""
"1996年","39000","高知県","816000","","8.8",""
"1996年","40000","福岡県","4952000","","9.7",""
"1996年","41000","佐賀県","884000","","10.1",""
"1996年","42000","長崎県","1540000","","9.9",""
"1996年","43000","熊本県","1861000","","9.7",""
"1996年","44000","大分県","1230000","","9.2",""
"1996年","45000","宮崎県","1177000","","10.0",""
"1996年","46000","鹿児島県","1793000","","9.4",""
"1996年","47000","沖縄県","1282000","","13.4",""
"1997年","01000","北海道","5699000","","8.6",""
"1997年","02000","青森県","1481000","","9.2",""
"1997年","03000","岩手県","1419000","","8.8",""
"1997年","04000","宮城県","2348000","","9.4",""
"1997年","05000","秋田県","1205000","","8.0",""
"1997年","06000","山形県","1253000","","9.0",""
"1997年","07000","福島県","2134000","","9.7",""
"1997年","08000","茨城県","2973000","","9.6",""
"1997年","09000","栃木県","1996000","","9.4",""
"1997年","10000","群馬県","2013000","","9.8",""
"1997年","11000","埼玉県","6841000","","9.9",""
"1997年","12000","千葉県","5839000","","9.4",""
"1997年","13000","東京都","11881000","","8.4",""
"1997年","14000","神奈川県","8319000","","9.9",""
"1997年","15000","新潟県","2490000","","9.0",""
"1997年","16000","富山県","1124000","","9.1",""
"1997年","17000","石川県","1181000","","9.6",""
"1997年","18000","福井県","828000","","9.9",""
"1997年","19000","山梨県","886000","","10.0",""
"1997年","20000","長野県","2207000","","9.7",""
"1997年","21000","岐阜県","2106000","","9.5",""
"1997年","22000","静岡県","3752000","","9.6",""
"1997年","23000","愛知県","6931000","","10.7",""
"1997年","24000","三重県","1851000","","9.6",""
"1997年","25000","滋賀県","1310000","","10.6",""
"1997年","26000","京都府","2638000","","9.1",""
"1997年","27000","大阪府","8808000","","10.3",""
"1997年","28000","兵庫県","5455000","","10.0",""
"1997年","29000","奈良県","1442000","","9.4",""
"1997年","30000","和歌山県","1078000","","9.1",""
"1997年","31000","鳥取県","614000","","9.2",""
"1997年","32000","島根県","768000","","8.5",""
"1997年","33000","岡山県","1952000","","9.9",""
"1997年","34000","広島県","2882000","","9.8",""
"1997年","35000","山口県","1545000","","8.6",""
"1997年","36000","徳島県","830000","","8.6",""
"1997年","37000","香川県","1026000","","9.3",""
"1997年","38000","愛媛県","1503000","","9.1",""
"1997年","39000","高知県","816000","","8.4",""
"1997年","40000","福岡県","4971000","","9.6",""
"1997年","41000","佐賀県","882000","","10.1",""
"1997年","42000","長崎県","1533000","","9.4",""
"1997年","43000","熊本県","1861000","","9.4",""
"1997年","44000","大分県","1228000","","9.1",""
"1997年","45000","宮崎県","1175000","","9.8",""
"1997年","46000","鹿児島県","1792000","","9.2",""
"1997年","47000","沖縄県","1289000","","12.9",""
"1998年","01000","北海道","5695000","","8.6",""
"1998年","02000","青森県","1479000","","9.2",""
"1998年","03000","岩手県","1419000","","9.0",""
"1998年","04000","宮城県","2355000","","9.5",""
"1998年","05000","秋田県","1200000","","7.8",""
"1998年","06000","山形県","1251000","","8.8",""
"1998年","07000","福島県","2132000","","9.7",""
"1998年","08000","茨城県","2980000","","9.7",""
"1998年","09000","栃木県","2001000","","9.5",""
"1998年","10000","群馬県","2017000","","9.7",""
"1998年","11000","埼玉県","6877000","","9.8",""
"1998年","12000","千葉県","5867000","","9.4",""
"1998年","13000","東京都","11939000","","8.5",""
"1998年","14000","神奈川県","8383000","","10.0",""
"1998年","15000","新潟県","2488000","","9.1",""
"1998年","16000","富山県","1124000","","9.0",""
"1998年","17000","石川県","1181000","","9.9",""
"1998年","18000","福井県","828000","","10.1",""
"1998年","19000","山梨県","888000","","9.7",""
"1998年","20000","長野県","2210000","","9.8",""
"1998年","21000","岐阜県","2108000","","9.8",""
"1998年","22000","静岡県","3758000","","9.7",""
"1998年","23000","愛知県","6973000","","10.9",""
"1998年","24000","三重県","1855000","","9.7",""
"1998年","25000","滋賀県","1323000","","10.8",""
"1998年","26000","京都府","2643000","","9.4",""
"1998年","27000","大阪府","8813000","","10.5",""
"1998年","28000","兵庫県","5494000","","10.1",""
"1998年","29000","奈良県","1443000","","9.6",""
"1998年","30000","和歌山県","1076000","","9.2",""
"1998年","31000","鳥取県","615000","","9.2",""
"1998年","32000","島根県","765000","","8.5",""
"1998年","33000","岡山県","1953000","","9.9",""
"1998年","34000","広島県","2882000","","9.7",""
"1998年","35000","山口県","1540000","","8.7",""
"1998年","36000","徳島県","829000","","8.8",""
"1998年","37000","香川県","1025000","","9.4",""
"1998年","38000","愛媛県","1501000","","9.1",""
"1998年","39000","高知県","816000","","8.3",""
"1998年","40000","福岡県","4990000","","9.6",""
"1998年","41000","佐賀県","881000","","9.9",""
"1998年","42000","長崎県","1526000","","9.6",""
"1998年","43000","熊本県","1862000","","9.4",""
"1998年","44000","大分県","1226000","","9.1",""
"1998年","45000","宮崎県","1173000","","9.7",""
"1998年","46000","鹿児島県","1790000","","9.1",""
"1998年","47000","沖縄県","1298000","","13.1",""
"1999年","01000","北海道","5689000","","8.2",""
"1999年","02000","青森県","1477000","","8.9",""
"1999年","03000","岩手県","1417000","","8.8",""
"1999年","04000","宮城県","2360000","","9.3",""
"1999年","05000","秋田県","1195000","","7.7",""
"1999年","06000","山形県","1247000","","8.7",""
"1999年","07000","福島県","2129000","","9.6",""
"1999年","08000","茨城県","2981000","","9.5",""
"1999年","09000","栃木県","2003000","","9.3",""
"1999年","10000","群馬県","2020000","","9.6",""
"1999年","11000","埼玉県","6906000","","9.6",""
"1999年","12000","千葉県","5893000","","9.2",""
"1999年","13000","東京都","11983000","","8.4",""
"1999年","14000","神奈川県","8432000","","9.8",""
"1999年","15000","新潟県","2482000","","8.8",""
"1999年","16000","富山県","1122000","","9.1",""
"1999年","17000","石川県","1180000","","9.6",""
"1999年","18000","福井県","828000","","9.8",""
"1999年","19000","山梨県","887000","","9.4",""
"1999年","20000","長野県","2210000","","9.5",""
"1999年","21000","岐阜県","2107000","","9.6",""
"1999年","22000","静岡県","3761000","","9.5",""
"1999年","23000","愛知県","7006000","","10.7",""
"1999年","24000","三重県","1856000","","9.4",""
"1999年","25000","滋賀県","1332000","","10.7",""
"1999年","26000","京都府","2645000","","9.2",""
"1999年","27000","大阪府","8813000","","10.2",""
"1999年","28000","兵庫県","5528000","","9.9",""
"1999年","29000","奈良県","1444000","","9.1",""
"1999年","30000","和歌山県","1074000","","8.9",""
"1999年","31000","鳥取県","614000","","8.7",""
"1999年","32000","島根県","763000","","8.4",""
"1999年","33000","岡山県","1953000","","9.6",""
"1999年","34000","広島県","2881000","","9.5",""
"1999年","35000","山口県","1535000","","8.6",""
"1999年","36000","徳島県","827000","","8.6",""
"1999年","37000","香川県","1025000","","9.4",""
"1999年","38000","愛媛県","1496000","","8.7",""
"1999年","39000","高知県","815000","","8.2",""
"1999年","40000","福岡県","5002000","","9.4",""
"1999年","41000","佐賀県","879000","","9.7",""
"1999年","42000","長崎県","1520000","","9.3",""
"1999年","43000","熊本県","1861000","","9.2",""
"1999年","44000","大分県","1224000","","8.8",""
"1999年","45000","宮崎県","1172000","","9.3",""
"1999年","46000","鹿児島県","1788000","","8.8",""
"1999年","47000","沖縄県","1308000","","12.8",""
"2000年","01000","北海道","5683062","","8.2",""
"2000年","02000","青森県","1475728","","8.8",""
"2000年","03000","岩手県","1416180","","8.8",""
"2000年","04000","宮城県","2365320","","9.4",""
"2000年","05000","秋田県","1189279","","7.6",""
"2000年","06000","山形県","1244147","","8.8",""
"2000年","07000","福島県","2126935","","9.6",""
"2000年","08000","茨城県","2985676","","9.6",""
"2000年","09000","栃木県","2004817","","9.6",""
"2000年","10000","群馬県","2024852","","9.7",""
"2000年","11000","埼玉県","6938006","","9.7",""
"2000年","12000","千葉県","5926285","","9.4",""
"2000年","13000","東京都","12064101","","8.5",""
"2000年","14000","神奈川県","8489974","","9.9",""
"2000年","15000","新潟県","2475733","","8.9",""
"2000年","16000","富山県","1120851","","9.1",""
"2000年","17000","石川県","1180977","","9.8",""
"2000年","18000","福井県","828944","","9.8",""
"2000年","19000","山梨県","888172","","9.5",""
"2000年","20000","長野県","2215168","","9.7",""
"2000年","21000","岐阜県","2107700","","9.7",""
"2000年","22000","静岡県","3767393","","9.6",""
"2000年","23000","愛知県","7043300","","10.8",""
"2000年","24000","三重県","1857339","","9.7",""
"2000年","25000","滋賀県","1342832","","10.6",""
"2000年","26000","京都府","2644391","","9.2",""
"2000年","27000","大阪府","8805081","","10.2",""
"2000年","28000","兵庫県","5550574","","10.0",""
"2000年","29000","奈良県","1442795","","9.3",""
"2000年","30000","和歌山県","1069912","","9.0",""
"2000年","31000","鳥取県","613289","","9.3",""
"2000年","32000","島根県","761503","","8.6",""
"2000年","33000","岡山県","1950828","","9.8",""
"2000年","34000","広島県","2878915","","9.6",""
"2000年","35000","山口県","1527964","","8.7",""
"2000年","36000","徳島県","824108","","8.8",""
"2000年","37000","香川県","1022890","","9.6",""
"2000年","38000","愛媛県","1493092","","8.9",""
"2000年","39000","高知県","813949","","8.4",""
"2000年","40000","福岡県","5015699","","9.5",""
"2000年","41000","佐賀県","876654","","10.0",""
"2000年","42000","長崎県","1516523","","9.3",""
"2000年","43000","熊本県","1859344","","9.3",""
"2000年","44000","大分県","1221140","","9.0",""
"2000年","45000","宮崎県","1170007","","9.5",""
"2000年","46000","鹿児島県","1786194","","9.1",""
"2000年","47000","沖縄県","1318220","","12.8",""
"2001年","01000","北海道","5680000","","8.2",""
"2001年","02000","青森県","1473000","","8.8",""
"2001年","03000","岩手県","1413000","","8.7",""
"2001年","04000","宮城県","2369000","","9.2",""
"2001年","05000","秋田県","1183000","","7.5",""
"2001年","06000","山形県","1241000","","8.8",""
"2001年","07000","福島県","2124000","","9.5",""
"2001年","08000","茨城県","2990000","","9.4",""
"2001年","09000","栃木県","2011000","","9.5",""
"2001年","10000","群馬県","2029000","","9.5",""
"2001年","11000","埼玉県","6977000","","9.5",""
"2001年","12000","千葉県","5970000","","9.2",""
"2001年","13000","東京都","12165000","","8.3",""
"2001年","14000","神奈川県","8575000","","9.7",""
"2001年","15000","新潟県","2471000","","8.7",""
"2001年","16000","富山県","1120000","","9.0",""
"2001年","17000","石川県","1182000","","9.7",""
"2001年","18000","福井県","830000","","9.7",""
"2001年","19000","山梨県","890000","","9.3",""
"2001年","20000","長野県","2222000","","9.6",""
"2001年","21000","岐阜県","2111000","","9.4",""
"2001年","22000","静岡県","3780000","","9.5",""
"2001年","23000","愛知県","7091000","","10.5",""
"2001年","24000","三重県","1862000","","9.3",""
"2001年","25000","滋賀県","1354000","","10.5",""
"2001年","26000","京都府","2649000","","9.0",""
"2001年","27000","大阪府","8821000","","9.9",""
"2001年","28000","兵庫県","5572000","","9.6",""
"2001年","29000","奈良県","1442000","","8.9",""
"2001年","30000","和歌山県","1065000","","8.8",""
"2001年","31000","鳥取県","613000","","9.2",""
"2001年","32000","島根県","760000","","8.8",""
"2001年","33000","岡山県","1954000","","9.7",""
"2001年","34000","広島県","2880000","","9.6",""
"2001年","35000","山口県","1523000","","8.6",""
"2001年","36000","徳島県","822000","","8.6",""
"2001年","37000","香川県","1022000","","9.3",""
"2001年","38000","愛媛県","1490000","","8.8",""
"2001年","39000","高知県","812000","","8.3",""
"2001年","40000","福岡県","5030000","","9.4",""
"2001年","41000","佐賀県","876000","","9.8",""
"2001年","42000","長崎県","1512000","","9.1",""
"2001年","43000","熊本県","1860000","","9.1",""
"2001年","44000","大分県","1220000","","9.0",""
"2001年","45000","宮崎県","1168000","","9.4",""
"2001年","46000","鹿児島県","1782000","","9.0",""
"2001年","47000","沖縄県","1327000","","13.0",""
"2002年","01000","北海道","5672000","","8.2",""
"2002年","02000","青森県","1467000","","8.5",""
"2002年","03000","岩手県","1407000","","8.5",""
"2002年","04000","宮城県","2369000","","9.1",""
"2002年","05000","秋田県","1175000","","7.2",""
"2002年","06000","山形県","1236000","","8.5",""
"2002年","07000","福島県","2118000","","9.2",""
"2002年","08000","茨城県","2987000","","9.3",""
"2002年","09000","栃木県","2012000","","9.3",""
"2002年","10000","群馬県","2030000","","9.4",""
"2002年","11000","埼玉県","7000000","","9.3",""
"2002年","12000","千葉県","5998000","","9.2",""
"2002年","13000","東京都","12271000","","8.4",""
"2002年","14000","神奈川県","8636000","","9.6",""
"2002年","15000","新潟県","2462000","","8.2",""
"2002年","16000","富山県","1118000","","8.9",""
"2002年","17000","石川県","1180000","","9.3",""
"2002年","18000","福井県","828000","","9.5",""
"2002年","19000","山梨県","889000","","9.0",""
"2002年","20000","長野県","2215000","","9.3",""
"2002年","21000","岐阜県","2110000","","9.4",""
"2002年","22000","静岡県","3784000","","9.5",""
