"時点","地域コード","地域","総人口（総数）【人】","注記"
"1990年","39000","高知県","825034",""
"1990年","40000","福岡県","4811050",""
"1990年","41000","佐賀県","877851",""
"1990年","42000","長崎県","1562959",""
"1990年","43000","熊本県","1840326",""
"1990年","44000","大分県","1236942",""
"1990年","45000","宮崎県","1168907",""
"1990年","46000","鹿児島県","1797824",""
"1990年","47000","沖縄県","1222398",""
"1991年","01000","北海道","5650000",""
"1991年","02000","青森県","1479000",""
"1991年","03000","岩手県","1416000",""
"1991年","04000","宮城県","2267000",""
"1991年","05000","秋田県","1223000",""
"1991年","06000","山形県","1257000",""
"1991年","07000","福島県","2109000",""
"1991年","08000","茨城県","2871000",""
"1991年","09000","栃木県","1948000",""
"1991年","10000","群馬県","1974000",""
"1991年","11000","埼玉県","6486000",""
"1991年","12000","千葉県","5617000",""
"1991年","13000","東京都","11894000",""
"1991年","14000","神奈川県","8050000",""
"1991年","15000","新潟県","2475000",""
"1991年","16000","富山県","1121000",""
"1991年","17000","石川県","1167000",""
"1991年","18000","福井県","823000",""
"1991年","19000","山梨県","860000",""
"1991年","20000","長野県","2162000",""
"1991年","21000","岐阜県","2073000",""
"1991年","22000","静岡県","3687000",""
"1991年","23000","愛知県","6729000",""
"1991年","24000","三重県","1803000",""
"1991年","25000","滋賀県","1235000",""
"1991年","26000","京都府","2608000",""
"1991年","27000","大阪府","8750000",""
"1991年","28000","兵庫県","5426000",""
"1991年","29000","奈良県","1388000",""
"1991年","30000","和歌山県","1076000",""
"1991年","31000","鳥取県","615000",""
"1991年","32000","島根県","778000",""
"1991年","33000","岡山県","1930000",""
"1991年","34000","広島県","2859000",""
"1991年","35000","山口県","1569000",""
"1991年","36000","徳島県","831000",""
"1991年","37000","香川県","1023000",""
"1991年","38000","愛媛県","1513000",""
"1991年","39000","高知県","822000",""
"1991年","40000","福岡県","4834000",""
"1991年","41000","佐賀県","878000",""
"1991年","42000","長崎県","1557000",""
"1991年","43000","熊本県","1844000",""
"1991年","44000","大分県","1235000",""
"1991年","45000","宮崎県","1167000",""
"1991年","46000","鹿児島県","1793000",""
"1991年","47000","沖縄県","1230000",""
"1992年","01000","北海道","5661000",""
"1992年","02000","青森県","1476000",""
"1992年","03000","岩手県","1416000",""
"1992年","04000","宮城県","2283000",""
"1992年","05000","秋田県","1220000",""
"1992年","06000","山形県","1257000",""
"1992年","07000","福島県","2116000",""
"1992年","08000","茨城県","2898000",""
"1992年","09000","栃木県","1959000",""
"1992年","10000","群馬県","1984000",""
"1992年","11000","埼玉県","6567000",""
"1992年","12000","千葉県","5679000",""
"1992年","13000","東京都","11887000",""
"1992年","14000","神奈川県","8116000",""
"1992年","15000","新潟県","2476000",""
"1992年","16000","富山県","1120000",""
"1992年","17000","石川県","1171000",""
"1992年","18000","福井県","823000",""
"1992年","19000","山梨県","865000",""
"1992年","20000","長野県","2169000",""
"1992年","21000","岐阜県","2082000",""
"1992年","22000","静岡県","3704000",""
"1992年","23000","愛知県","6776000",""
"1992年","24000","三重県","1814000",""
"1992年","25000","滋賀県","1248000",""
"1992年","26000","京都府","2615000",""
"1992年","27000","大阪府","8761000",""
"1992年","28000","兵庫県","5443000",""
"1992年","29000","奈良県","1400000",""
"1992年","30000","和歌山県","1076000",""
"1992年","31000","鳥取県","615000",""
"1992年","32000","島根県","775000",""
"1992年","33000","岡山県","1935000",""
"1992年","34000","広島県","2867000",""
"1992年","35000","山口県","1565000",""
"1992年","36000","徳島県","830000",""
"1992年","37000","香川県","1024000",""
"1992年","38000","愛媛県","1511000",""
"1992年","39000","高知県","819000",""
"1992年","40000","福岡県","4859000",""
"1992年","41000","佐賀県","879000",""
"1992年","42000","長崎県","1552000",""
"1992年","43000","熊本県","1846000",""
"1992年","44000","大分県","1233000",""
"1992年","45000","宮崎県","1167000",""
"1992年","46000","鹿児島県","1789000",""
"1992年","47000","沖縄県","1239000",""
"1993年","01000","北海道","5669000",""
"1993年","02000","青森県","1476000",""
"1993年","03000","岩手県","1417000",""
"1993年","04000","宮城県","2299000",""
"1993年","05000","秋田県","1217000",""
"1993年","06000","山形県","1256000",""
"1993年","07000","福島県","2123000",""
"1993年","08000","茨城県","2920000",""
"1993年","09000","栃木県","1969000",""
"1993年","10000","群馬県","1990000",""
"1993年","11000","埼玉県","6640000",""
"1993年","12000","千葉県","5731000",""
"1993年","13000","東京都","11849000",""
"1993年","14000","神奈川県","8166000",""
"1993年","15000","新潟県","2479000",""
"1993年","16000","富山県","1121000",""
"1993年","17000","石川県","1173000",""
"1993年","18000","福井県","824000",""
"1993年","19000","山梨県","871000",""
"1993年","20000","長野県","2175000",""
"1993年","21000","岐阜県","2089000",""
"1993年","22000","静岡県","3716000",""
"1993年","23000","愛知県","6810000",""
"1993年","24000","三重県","1823000",""
"1993年","25000","滋賀県","1261000",""
"1993年","26000","京都府","2618000",""
"1993年","27000","大阪府","8762000",""
"1993年","28000","兵庫県","5457000",""
"1993年","29000","奈良県","1412000",""
"1993年","30000","和歌山県","1077000",""
"1993年","31000","鳥取県","614000",""
"1993年","32000","島根県","773000",""
"1993年","33000","岡山県","1940000",""
"1993年","34000","広島県","2873000",""
"1993年","35000","山口県","1561000",""
"1993年","36000","徳島県","831000",""
"1993年","37000","香川県","1025000",""
"1993年","38000","愛媛県","1508000",""
"1993年","39000","高知県","817000",""
"1993年","40000","福岡県","4885000",""
"1993年","41000","佐賀県","880000",""
"1993年","42000","長崎県","1550000",""
"1993年","43000","熊本県","1850000",""
"1993年","44000","大分県","1231000",""
"1993年","45000","宮崎県","1171000",""
"1993年","46000","鹿児島県","1788000",""
"1993年","47000","沖縄県","1250000",""
"1994年","01000","北海道","5681000",""
"1994年","02000","青森県","1480000",""
"1994年","03000","岩手県","1418000",""
"1994年","04000","宮城県","2313000",""
"1994年","05000","秋田県","1216000",""
"1994年","06000","山形県","1256000",""
"1994年","07000","福島県","2129000",""
"1994年","08000","茨城県","2940000",""
"1994年","09000","栃木県","1977000",""
"1994年","10000","群馬県","1996000",""
"1994年","11000","埼玉県","6703000",""
"1994年","12000","千葉県","5767000",""
"1994年","13000","東京都","11796000",""
"1994年","14000","神奈川県","8207000",""
"1994年","15000","新潟県","2484000",""
"1994年","16000","富山県","1121000",""
"1994年","17000","石川県","1176000",""
"1994年","18000","福井県","825000",""
"1994年","19000","山梨県","877000",""
"1994年","20000","長野県","2184000",""
"1994年","21000","岐阜県","2095000",""
"1994年","22000","静岡県","3729000",""
"1994年","23000","愛知県","6839000",""
"1994年","24000","三重県","1833000",""
"1994年","25000","滋賀県","1273000",""
"1994年","26000","京都府","2622000",""
"1994年","27000","大阪府","8759000",""
"1994年","28000","兵庫県","5469000",""
"1994年","29000","奈良県","1420000",""
"1994年","30000","和歌山県","1080000",""
"1994年","31000","鳥取県","614000",""
"1994年","32000","島根県","772000",""
"1994年","33000","岡山県","1945000",""
"1994年","34000","広島県","2877000",""
"1994年","35000","山口県","1559000",""
"1994年","36000","徳島県","830000",""
"1994年","37000","香川県","1026000",""
"1994年","38000","愛媛県","1508000",""
"1994年","39000","高知県","817000",""
"1994年","40000","福岡県","4909000",""
"1994年","41000","佐賀県","883000",""
"1994年","42000","長崎県","1549000",""
"1994年","43000","熊本県","1855000",""
"1994年","44000","大分県","1232000",""
"1994年","45000","宮崎県","1174000",""
"1994年","46000","鹿児島県","1791000",""
"1994年","47000","沖縄県","1262000",""
"1995年","01000","北海道","5692321",""
"1995年","02000","青森県","1481663",""
"1995年","03000","岩手県","1419505",""
"1995年","04000","宮城県","2328739",""
"1995年","05000","秋田県","1213667",""
"1995年","06000","山形県","1256958",""
"1995年","07000","福島県","2133592",""
"1995年","08000","茨城県","2955530",""
"1995年","09000","栃木県","1984390",""
"1995年","10000","群馬県","2003540",""
"1995年","11000","埼玉県","6759311",""
"1995年","12000","千葉県","5797782",""
"1995年","13000","東京都","11773605",""
"1995年","14000","神奈川県","8245900",""
"1995年","15000","新潟県","2488364",""
"1995年","16000","富山県","1123125",""
"1995年","17000","石川県","1180068",""
"1995年","18000","福井県","826996",""
"1995年","19000","山梨県","881996",""
"1995年","20000","長野県","2193984",""
"1995年","21000","岐阜県","2100315",""
"1995年","22000","静岡県","3737689",""
"1995年","23000","愛知県","6868336",""
"1995年","24000","三重県","1841358",""
"1995年","25000","滋賀県","1287005",""
"1995年","26000","京都府","2629592",""
"1995年","27000","大阪府","8797268",""
"1995年","28000","兵庫県","5401877",""
"1995年","29000","奈良県","1430862",""
"1995年","30000","和歌山県","1080435",""
"1995年","31000","鳥取県","614929",""
"1995年","32000","島根県","771441",""
"1995年","33000","岡山県","1950750",""
"1995年","34000","広島県","2881748",""
"1995年","35000","山口県","1555543",""
"1995年","36000","徳島県","832427",""
"1995年","37000","香川県","1027006",""
"1995年","38000","愛媛県","1506700",""
"1995年","39000","高知県","816704",""
"1995年","40000","福岡県","4933393",""
"1995年","41000","佐賀県","884316",""
"1995年","42000","長崎県","1544934",""
"1995年","43000","熊本県","1859793",""
"1995年","44000","大分県","1231306",""
"1995年","45000","宮崎県","1175819",""
"1995年","46000","鹿児島県","1794224",""
"1995年","47000","沖縄県","1273440",""
"1996年","01000","北海道","5697000",""
"1996年","02000","青森県","1483000",""
"1996年","03000","岩手県","1420000",""
"1996年","04000","宮城県","2338000",""
"1996年","05000","秋田県","1210000",""
"1996年","06000","山形県","1255000",""
"1996年","07000","福島県","2134000",""
"1996年","08000","茨城県","2966000",""
"1996年","09000","栃木県","1991000",""
"1996年","10000","群馬県","2009000",""
"1996年","11000","埼玉県","6804000",""
"1996年","12000","千葉県","5817000",""
"1996年","13000","東京都","11808000",""
"1996年","14000","神奈川県","8279000",""
"1996年","15000","新潟県","2490000",""
"1996年","16000","富山県","1125000",""
"1996年","17000","石川県","1181000",""
"1996年","18000","福井県","828000",""
"1996年","19000","山梨県","885000",""
"1996年","20000","長野県","2203000",""
"1996年","21000","岐阜県","2104000",""
"1996年","22000","静岡県","3745000",""
"1996年","23000","愛知県","6897000",""
"1996年","24000","三重県","1846000",""
"1996年","25000","滋賀県","1298000",""
"1996年","26000","京都府","2634000",""
"1996年","27000","大阪府","8807000",""
"1996年","28000","兵庫県","5421000",""
"1996年","29000","奈良県","1437000",""
"1996年","30000","和歌山県","1079000",""
"1996年","31000","鳥取県","615000",""
"1996年","32000","島根県","770000",""
"1996年","33000","岡山県","1951000",""
"1996年","34000","広島県","2881000",""
"1996年","35000","山口県","1550000",""
"1996年","36000","徳島県","831000",""
"1996年","37000","香川県","1027000",""
"1996年","38000","愛媛県","1505000",""
"1996年","39000","高知県","816000",""
"1996年","40000","福岡県","4952000",""
"1996年","41000","佐賀県","884000",""
"1996年","42000","長崎県","1540000",""
"1996年","43000","熊本県","1861000",""
"1996年","44000","大分県","1230000",""
"1996年","45000","宮崎県","1177000",""
"1996年","46000","鹿児島県","1793000",""
"1996年","47000","沖縄県","1282000",""
"1997年","01000","北海道","5699000",""
"1997年","02000","青森県","1481000",""
"1997年","03000","岩手県","1419000",""
"1997年","04000","宮城県","2348000",""
"1997年","05000","秋田県","1205000",""
"1997年","06000","山形県","1253000",""
"1997年","07000","福島県","2134000",""
"1997年","08000","茨城県","2973000",""
"1997年","09000","栃木県","1996000",""
"1997年","10000","群馬県","2013000",""
"1997年","11000","埼玉県","6841000",""
"1997年","12000","千葉県","5839000",""
"1997年","13000","東京都","11881000",""
"1997年","14000","神奈川県","8319000",""
"1997年","15000","新潟県","2490000",""
"1997年","16000","富山県","1124000",""
"1997年","17000","石川県","1181000",""
"1997年","18000","福井県","828000",""
"1997年","19000","山梨県","886000",""
"1997年","20000","長野県","2207000",""
"1997年","21000","岐阜県","2106000",""
"1997年","22000","静岡県","3752000",""
"1997年","23000","愛知県","6931000",""
"1997年","24000","三重県","1851000",""
"1997年","25000","滋賀県","1310000",""
"1997年","26000","京都府","2638000",""
"1997年","27000","大阪府","8808000",""
"1997年","28000","兵庫県","5455000",""
"1997年","29000","奈良県","1442000",""
"1997年","30000","和歌山県","1078000",""
"1997年","31000","鳥取県","614000",""
"1997年","32000","島根県","768000",""
"1997年","33000","岡山県","1952000",""
"1997年","34000","広島県","2882000",""
"1997年","35000","山口県","1545000",""
"1997年","36000","徳島県","830000",""
"1997年","37000","香川県","1026000",""
"1997年","38000","愛媛県","1503000",""
"1997年","39000","高知県","816000",""
"1997年","40000","福岡県","4971000",""
"1997年","41000","佐賀県","882000",""
"1997年","42000","長崎県","1533000",""
"1997年","43000","熊本県","1861000",""
"1997年","44000","大分県","1228000",""
"1997年","45000","宮崎県","1175000",""
"1997年","46000","鹿児島県","1792000",""
"1997年","47000","沖縄県","1289000",""
"1998年","01000","北海道","5695000",""
"1998年","02000","青森県","1479000",""
"1998年","03000","岩手県","1419000",""
"1998年","04000","宮城県","2355000",""
"1998年","05000","秋田県","1200000",""
"1998年","06000","山形県","1251000",""
"1998年","07000","福島県","2132000",""
"1998年","08000","茨城県","2980000",""
"1998年","09000","栃木県","2001000",""
"1998年","10000","群馬県","2017000",""
"1998年","11000","埼玉県","6877000",""
"1998年","12000","千葉県","5867000",""
"1998年","13000","東京都","11939000",""
"1998年","14000","神奈川県","8383000",""
"1998年","15000","新潟県","2488000",""
"1998年","16000","富山県","1124000",""
"1998年","17000","石川県","1181000",""
"1998年","18000","福井県","828000",""
"1998年","19000","山梨県","888000",""
"1998年","20000","長野県","2210000",""
"1998年","21000","岐阜県","2108000",""
"1998年","22000","静岡県","3758000",""
"1998年","23000","愛知県","6973000",""
"1998年","24000","三重県","1855000",""
"1998年","25000","滋賀県","1323000",""
"1998年","26000","京都府","2643000",""
"1998年","27000","大阪府","8813000",""
"1998年","28000","兵庫県","5494000",""
"1998年","29000","奈良県","1443000",""
"1998年","30000","和歌山県","1076000",""
"1998年","31000","鳥取県","615000",""
"1998年","32000","島根県","765000",""
"1998年","33000","岡山県","1953000",""
"1998年","34000","広島県","2882000",""
"1998年","35000","山口県","1540000",""
"1998年","36000","徳島県","829000",""
"1998年","37000","香川県","1025000",""
"1998年","38000","愛媛県","1501000",""
"1998年","39000","高知県","816000",""
"1998年","40000","福岡県","4990000",""
"1998年","41000","佐賀県","881000",""
"1998年","42000","長崎県","1526000",""
"1998年","43000","熊本県","1862000",""
"1998年","44000","大分県","1226000",""
"1998年","45000","宮崎県","1173000",""
"1998年","46000","鹿児島県","1790000",""
"1998年","47000","沖縄県","1298000",""
"1999年","01000","北海道","5689000",""
"1999年","02000","青森県","1477000",""
"1999年","03000","岩手県","1417000",""
"1999年","04000","宮城県","2360000",""
"1999年","05000","秋田県","1195000",""
"1999年","06000","山形県","1247000",""
"1999年","07000","福島県","2129000",""
"1999年","08000","茨城県","2981000",""
"1999年","09000","栃木県","2003000",""
"1999年","10000","群馬県","2020000",""
"1999年","11000","埼玉県","6906000",""
"1999年","12000","千葉県","5893000",""
"1999年","13000","東京都","11983000",""
"1999年","14000","神奈川県","8432000",""
"1999年","15000","新潟県","2482000",""
"1999年","16000","富山県","1122000",""
"1999年","17000","石川県","1180000",""
"1999年","18000","福井県","828000",""
"1999年","19000","山梨県","887000",""
"1999年","20000","長野県","2210000",""
"1999年","21000","岐阜県","2107000",""
"1999年","22000","静岡県","3761000",""
"1999年","23000","愛知県","7006000",""
"1999年","24000","三重県","1856000",""
"1999年","25000","滋賀県","1332000",""
"1999年","26000","京都府","2645000",""
"1999年","27000","大阪府","8813000",""
"1999年","28000","兵庫県","5528000",""
"1999年","29000","奈良県","1444000",""
"1999年","30000","和歌山県","1074000",""
"1999年","31000","鳥取県","614000",""
"1999年","32000","島根県","763000",""
"1999年","33000","岡山県","1953000",""
"1999年","34000","広島県","2881000",""
"1999年","35000","山口県","1535000",""
"1999年","36000","徳島県","827000",""
"1999年","37000","香川県","1025000",""
"1999年","38000","愛媛県","1496000",""
"1999年","39000","高知県","815000",""
"1999年","40000","福岡県","5002000",""
"1999年","41000","佐賀県","879000",""
"1999年","42000","長崎県","1520000",""
"1999年","43000","熊本県","1861000",""
"1999年","44000","大分県","1224000",""
"1999年","45000","宮崎県","1172000",""
"1999年","46000","鹿児島県","1788000",""
"1999年","47000","沖縄県","1308000",""
"2000年","01000","北海道","5683062",""
"2000年","02000","青森県","1475728",""
"2000年","03000","岩手県","1416180",""
"2000年","04000","宮城県","2365320",""
"2000年","05000","秋田県","1189279",""
"2000年","06000","山形県","1244147",""
"2000年","07000","福島県","2126935",""
"2000年","08000","茨城県","2985676",""
"2000年","09000","栃木県","2004817",""
"2000年","10000","群馬県","2024852",""
"2000年","11000","埼玉県","6938006",""
"2000年","12000","千葉県","5926285",""
"2000年","13000","東京都","12064101",""
"2000年","14000","神奈川県","8489974",""
"2000年","15000","新潟県","2475733",""
"2000年","16000","富山県","1120851",""
"2000年","17000","石川県","1180977",""
"2000年","18000","福井県","828944",""
"2000年","19000","山梨県","888172",""
"2000年","20000","長野県","2215168",""
"2000年","21000","岐阜県","2107700",""
"2000年","22000","静岡県","3767393",""
"2000年","23000","愛知県","7043300",""
"2000年","24000","三重県","1857339",""
"2000年","25000","滋賀県","1342832",""
"2000年","26000","京都府","2644391",""
"2000年","27000","大阪府","8805081",""
"2000年","28000","兵庫県","5550574",""
"2000年","29000","奈良県","1442795",""
"2000年","30000","和歌山県","1069912",""
"2000年","31000","鳥取県","613289",""
"2000年","32000","島根県","761503",""
"2000年","33000","岡山県","1950828",""
"2000年","34000","広島県","2878915",""
"2000年","35000","山口県","1527964",""
"2000年","36000","徳島県","824108",""
"2000年","37000","香川県","1022890",""
"2000年","38000","愛媛県","1493092",""
"2000年","39000","高知県","813949",""
"2000年","40000","福岡県","5015699",""
"2000年","41000","佐賀県","876654",""
"2000年","42000","長崎県","1516523",""
"2000年","43000","熊本県","1859344",""
"2000年","44000","大分県","1221140",""
"2000年","45000","宮崎県","1170007",""
"2000年","46000","鹿児島県","1786194",""
"2000年","47000","沖縄県","1318220",""
"2001年","01000","北海道","5680000",""
"2001年","02000","青森県","1473000",""
"2001年","03000","岩手県","1413000",""
"2001年","04000","宮城県","2369000",""
"2001年","05000","秋田県","1183000",""
"2001年","06000","山形県","1241000",""
"2001年","07000","福島県","2124000",""
"2001年","08000","茨城県","2990000",""
"2001年","09000","栃木県","2011000",""
"2001年","10000","群馬県","2029000",""
"2001年","11000","埼玉県","6977000",""
"2001年","12000","千葉県","5970000",""
"2001年","13000","東京都","12165000",""
"2001年","14000","神奈川県","8575000",""
"2001年","15000","新潟県","2471000",""
"2001年","16000","富山県","1120000",""
"2001年","17000","石川県","1182000",""
"2001年","18000","福井県","830000",""
"2001年","19000","山梨県","890000",""
"2001年","20000","長野県","2222000",""
"2001年","21000","岐阜県","2111000",""
"2001年","22000","静岡県","3780000",""
"2001年","23000","愛知県","7091000",""
"2001年","24000","三重県","1862000",""
"2001年","25000","滋賀県","1354000",""
"2001年","26000","京都府","2649000",""
"2001年","27000","大阪府","8821000",""
"2001年","28000","兵庫県","5572000",""
"2001年","29000","奈良県","1442000",""
"2001年","30000","和歌山県","1065000",""
"2001年","31000","鳥取県","613000",""
"2001年","32000","島根県","760000",""
"2001年","33000","岡山県","1954000",""
"2001年","34000","広島県","2880000",""
"2001年","35000","山口県","1523000",""
"2001年","36000","徳島県","822000",""
"2001年","37000","香川県","1022000",""
"2001年","38000","愛媛県","1490000",""
"2001年","39000","高知県","812000",""
"2001年","40000","福岡県","5030000",""
"2001年","41000","佐賀県","876000",""
"2001年","42000","長崎県","1512000",""
"2001年","43000","熊本県","1860000",""
"2001年","44000","大分県","1220000",""
"2001年","45000","宮崎県","1168000",""
"2001年","46000","鹿児島県","1782000",""
"2001年","47000","沖縄県","1327000",""
"2002年","01000","北海道","5672000",""
"2002年","02000","青森県","1467000",""
"2002年","03000","岩手県","1407000",""
"2002年","04000","宮城県","2369000",""
"2002年","05000","秋田県","1175000",""
"2002年","06000","山形県","1236000",""
"2002年","07000","福島県","2118000",""
"2002年","08000","茨城県","2987000",""
"2002年","09000","栃木県","2012000",""
"2002年","10000","群馬県","2030000",""
"2002年","11000","埼玉県","7000000",""
"2002年","12000","千葉県","5998000",""
"2002年","13000","東京都","12271000",""
"2002年","14000","神奈川県","8636000",""
"2002年","15000","新潟県","2462000",""
"2002年","16000","富山県","1118000",""
"2002年","17000","石川県","1180000",""
"2002年","18000","福井県","828000",""
"2002年","19000","山梨県","889000",""
"2002年","20000","長野県","2215000",""
"2002年","21000","岐阜県","2110000",""
"2002年","22000","静岡県","3784000",""
"2002年","23000","愛知県","7131000",""
"2002年","24000","三重県","1863000",""
"2002年","25000","滋賀県","1361000",""
"2002年","26000","京都府","2648000",""
"2002年","27000","大阪府","8821000",""
"2002年","28000","兵庫県","5580000",""
"2002年","29000","奈良県","1437000",""
"2002年","30000","和歌山県","1059000",""
"2002年","31000","鳥取県","612000",""
"2002年","32000","島根県","756000",""
"2002年","33000","岡山県","1956000",""
"2002年","34000","広島県","2878000",""
"2002年","35000","山口県","1517000",""
"2002年","36000","徳島県","820000",""
"2002年","37000","香川県","1020000",""
"2002年","38000","愛媛県","1485000",""
"2002年","39000","高知県","810000",""
"2002年","40000","福岡県","5039000",""
"2002年","41000","佐賀県","874000",""
"2002年","42000","長崎県","1505000",""
"2002年","43000","熊本県","1857000",""
"2002年","44000","大分県","1219000",""
"2002年","45000","宮崎県","1165000",""
"2002年","46000","鹿児島県","1776000",""
"2002年","47000","沖縄県","1336000",""
"2003年","01000","北海道","5663000",""
"2003年","02000","青森県","1459000",""
"2003年","03000","岩手県","1401000",""
"2003年","04000","宮城県","2369000",""
"2003年","05000","秋田県","1165000",""
"2003年","06000","山形県","1230000",""
"2003年","07000","福島県","2110000",""
"2003年","08000","茨城県","2985000",""
"2003年","09000","栃木県","2014000",""
"2003年","10000","群馬県","2030000",""
"2003年","11000","埼玉県","7028000",""
"2003年","12000","千葉県","6030000",""
"2003年","13000","東京都","12388000",""
"2003年","14000","神奈川県","8702000",""
"2003年","15000","新潟県","2455000",""
"2003年","16000","富山県","1116000",""
"2003年","17000","石川県","1179000",""
"2003年","18000","福井県","827000",""
"2003年","19000","山梨県","888000",""
"2003年","20000","長野県","2210000",""
"2003年","21000","岐阜県","2110000",""
"2003年","22000","静岡県","3790000",""
"2003年","23000","愛知県","7170000",""
"2003年","24000","三重県","1864000",""
"2003年","25000","滋賀県","1368000",""
"2003年","26000","京都府","2650000",""
"2003年","27000","大阪府","8824000",""
"2003年","28000","兵庫県","5589000",""
"2003年","29000","奈良県","1434000",""
"2003年","30000","和歌山県","1052000",""
"2003年","31000","鳥取県","611000",""
"2003年","32000","島根県","752000",""
"2003年","33000","岡山県","1958000",""
"2003年","34000","広島県","2879000",""
"2003年","35000","山口県","1510000",""
"2003年","36000","徳島県","818000",""
"2003年","37000","香川県","1018000",""
"2003年","38000","愛媛県","1481000",""
"2003年","39000","高知県","806000",""
"2003年","40000","福岡県","5045000",""
"2003年","41000","佐賀県","872000",""
"2003年","42000","長崎県","1498000",""
"2003年","43000","熊本県","1852000",""
"2003年","44000","大分県","1217000",""
"2003年","45000","宮崎県","1162000",""
"2003年","46000","鹿児島県","1770000",""
"2003年","47000","沖縄県","1345000",""
"2004年","01000","北海道","5650000",""
"2004年","02000","青森県","1448000",""
"2004年","03000","岩手県","1395000",""
"2004年","04000","宮城県","2366000",""
"2004年","05000","秋田県","1156000",""
"2004年","06000","山形県","1224000",""
"2004年","07000","福島県","2102000",""
"2004年","08000","茨城県","2982000",""
"2004年","09000","栃木県","2016000",""
"2004年","10000","群馬県","2027000",""
"2004年","11000","埼玉県","7046000",""
"2004年","12000","千葉県","6047000",""
"2004年","13000","東京都","12482000",""
"2004年","14000","神奈川県","8753000",""
"2004年","15000","新潟県","2445000",""
"2004年","16000","富山県","1115000",""
"2004年","17000","石川県","1178000",""
"2004年","18000","福井県","824000",""
"2004年","19000","山梨県","886000",""
"2004年","20000","長野県","2206000",""
"2004年","21000","岐阜県","2108000",""
"2004年","22000","静岡県","3791000",""
"2004年","23000","愛知県","7209000",""
"2004年","24000","三重県","1867000",""
"2004年","25000","滋賀県","1375000",""
"2004年","26000","京都府","2650000",""
"2004年","27000","大阪府","8825000",""
"2004年","28000","兵庫県","5592000",""
"2004年","29000","奈良県","1428000",""
"2004年","30000","和歌山県","1045000",""
"2004年","31000","鳥取県","610000",""
"2004年","32000","島根県","747000",""
"2004年","33000","岡山県","1959000",""
"2004年","34000","広島県","2879000",""
"2004年","35000","山口県","1502000",""
"2004年","36000","徳島県","814000",""
"2004年","37000","香川県","1016000",""
"2004年","38000","愛媛県","1475000",""
"2004年","39000","高知県","802000",""
"2004年","40000","福岡県","5050000",""
"2004年","41000","佐賀県","870000",""
"2004年","42000","長崎県","1490000",""
"2004年","43000","熊本県","1848000",""
"2004年","44000","大分県","1214000",""
"2004年","45000","宮崎県","1159000",""
"2004年","46000","鹿児島県","1763000",""
"2004年","47000","沖縄県","1353000",""
"2005年","01000","北海道","5627737",""
"2005年","02000","青森県","1436657",""
"2005年","03000","岩手県","1385041",""
"2005年","04000","宮城県","2360218",""
"2005年","05000","秋田県","1145501",""
"2005年","06000","山形県","1216181",""
"2005年","07000","福島県","2091319",""
"2005年","08000","茨城県","2975167",""
"2005年","09000","栃木県","2016631",""
"2005年","10000","群馬県","2024135",""
"2005年","11000","埼玉県","7054243",""
"2005年","12000","千葉県","6056462",""
"2005年","13000","東京都","12576601",""
"2005年","14000","神奈川県","8791597",""
"2005年","15000","新潟県","2431459",""
"2005年","16000","富山県","1111729",""
"2005年","17000","石川県","1174026",""
"2005年","18000","福井県","821592",""
"2005年","19000","山梨県","884515",""
"2005年","20000","長野県","2196114",""
"2005年","21000","岐阜県","2107226",""
"2005年","22000","静岡県","3792377",""
"2005年","23000","愛知県","7254704",""
"2005年","24000","三重県","1866963",""
"2005年","25000","滋賀県","1380361",""
"2005年","26000","京都府","2647660",""
"2005年","27000","大阪府","8817166",""
"2005年","28000","兵庫県","5590601",""
"2005年","29000","奈良県","1421310",""
"2005年","30000","和歌山県","1035969",""
"2005年","31000","鳥取県","607012",""
"2005年","32000","島根県","742223",""
"2005年","33000","岡山県","1957264",""
"2005年","34000","広島県","2876642",""
"2005年","35000","山口県","1492606",""
"2005年","36000","徳島県","809950",""
"2005年","37000","香川県","1012400",""
"2005年","38000","愛媛県","1467815",""
"2005年","39000","高知県","796292",""
"2005年","40000","福岡県","5049908",""
"2005年","41000","佐賀県","866369",""
"2005年","42000","長崎県","1478632",""
"2005年","43000","熊本県","1842233",""
"2005年","44000","大分県","1209571",""
"2005年","45000","宮崎県","1153042",""
"2005年","46000","鹿児島県","1753179",""
"2005年","47000","沖縄県","1361594",""
"2006年","01000","北海道","5605000",""
"2006年","02000","青森県","1424000",""
"2006年","03000","岩手県","1375000",""
"2006年","04000","宮城県","2358000",""
"2006年","05000","秋田県","1134000",""
"2006年","06000","山形県","1207000",""
"2006年","07000","福島県","2080000",""
"2006年","08000","茨城県","2974000",""
"2006年","09000","栃木県","2016000",""
"2006年","10000","群馬県","2022000",""
"2006年","11000","埼玉県","7079000",""
"2006年","12000","千葉県","6084000",""
"2006年","13000","東京都","12704000",""
"2006年","14000","神奈川県","8846000",""
"2006年","15000","新潟県","2420000",""
"2006年","16000","富山県","1110000",""
"2006年","17000","石川県","1173000",""
"2006年","18000","福井県","820000",""
"2006年","19000","山梨県","880000",""
"2006年","20000","長野県","2189000",""
"2006年","21000","岐阜県","2105000",""
"2006年","22000","静岡県","3795000",""
"2006年","23000","愛知県","7307000",""
"2006年","24000","三重県","1872000",""
"2006年","25000","滋賀県","1390000",""
"2006年","26000","京都府","2646000",""
"2006年","27000","大阪府","8828000",""
"2006年","28000","兵庫県","5592000",""
"2006年","29000","奈良県","1417000",""
"2006年","30000","和歌山県","1029000",""
